"region","temperature_C","rainfall_mm","irrigation","fertiliser_kgha","chem_weed_control_kgha","soil_organic_matter","seed_brand","tractor_brand"
"Free State",28.08,721.7,"Rainfed",182.95,96.05,3.027,"Pannar","New Holland"
"North West",30.69,601.8,"Rainfed",137.03,106.66,3.679,"Dekalb","John Deere"
"Free State",27.08,542.6,"Rainfed",84.13,215.31,3.383,"Pioneer","Case"
"Free State",24.48,563.8,"Rainfed",178.52,220.59,3.036,"Dekalb","John Deere"
"Mpumalanga",24.59,355.6,"Rainfed",133.18,271.05,3.626,"Pannar","John Deere"
"Free State",29.52,618.4,"Irrigated",158.6,132.24,3.713,"Pioneer","John Deere"
"Free State",31.86,480.6,"Rainfed",150.64,97.18,2.809,"Dekalb","New Holland"
"Free State",23.89,984.7,"Rainfed",228.68,261.31,4.082,"Dekalb","John Deere"
"Free State",15,982.9,"Rainfed",159.76,68.25,3.936,"Pannar","John Deere"
"North West",28.16,607.6,"Rainfed",152.51,126.67,3.1,"Pannar","John Deere"
"Free State",24.82,642.2,"Rainfed",450.46,177.66,3.255,"Pioneer","John Deere"
"Free State",23.38,1163.9,"Rainfed",260.97,81.14,3.611,"Pioneer","New Holland"
"Free State",26.27,712,"Rainfed",173.82,68.01,3.606,"Pioneer","Case"
"Mpumalanga",25.03,486.7,"Rainfed",120.59,168.89,3.124,"Pioneer","John Deere"
"Mpumalanga",20.45,889.7,"Rainfed",271.36,279.13,3.344,"Pannar","John Deere"
"North West",26.53,315.9,"Irrigated",110.7,98.97,4.386,"Dekalb","John Deere"
"Mpumalanga",23.19,623.3,"Rainfed",161.16,100.21,3.782,"Pannar","New Holland"
"Mpumalanga",20.35,784.2,"Rainfed",236.23,89.49,3.944,"Pioneer","John Deere"
"Free State",24.37,598.4,"Rainfed",138.13,262.74,3.256,"Pannar","John Deere"
"Mpumalanga",16.11,774.6,"Rainfed",140.74,99.27,3.45,"Pioneer","John Deere"
"Mpumalanga",18.64,701.8,"Rainfed",198.3,93.73,3.12,"Pannar","John Deere"
"Mpumalanga",18.02,1167.3,"Rainfed",174.52,95.13,3.678,"Pannar","John Deere"
"North West",23.73,514.6,"Irrigated",147.97,104.71,3.474,"Pannar","John Deere"
"Free State",21.23,629.7,"Rainfed",150.5,104.25,4.203,"Pannar","John Deere"
"Free State",25.53,560.4,"Irrigated",182.98,177.92,3.391,"Pannar","New Holland"
"Free State",27.93,826.1,"Rainfed",200.53,155.41,3.504,"Pannar","John Deere"
"Free State",21.09,901.4,"Rainfed",284.96,167.81,3.252,"Dekalb","John Deere"
"Free State",20.01,630.6,"Rainfed",137.67,102.76,3.583,"Pannar","New Holland"
"Mpumalanga",18.87,834,"Rainfed",287.68,187.49,3.301,"Pannar","John Deere"
"Free State",22.34,525.8,"Rainfed",88.3,35.21,3.184,"Dekalb","Case"
"Free State",23.04,610.1,"Irrigated",125.08,224.23,3.469,"Dekalb","John Deere"
"Free State",25.93,688.3,"Rainfed",92.61,148.54,3.225,"Pioneer","John Deere"
"Free State",22.71,654.7,"Rainfed",187.58,113.56,3.247,"Pannar","John Deere"
"Mpumalanga",15.76,670.9,"Rainfed",196.67,167.87,3.687,"Pioneer","John Deere"
"Mpumalanga",21.73,673.2,"Rainfed",92.1,78.98,3.838,"Dekalb","John Deere"
"Free State",28.75,563.2,"Irrigated",167.86,102.64,3.734,"Pannar","John Deere"
"Free State",28.77,504.2,"Rainfed",111.59,142.68,3.467,"Pannar","John Deere"
"Free State",20.84,555.7,"Rainfed",202.86,67.93,3.531,"Pannar","John Deere"
"Free State",17.81,652.8,"Rainfed",85,133.52,3.297,"Pioneer","New Holland"
"Free State",33.83,363.6,"Irrigated",237.45,133.75,3.525,"Pioneer","Case"
"Free State",23.35,534.1,"Rainfed",161.41,120.1,3.792,"Pioneer","New Holland"
"Free State",23.61,422.6,"Irrigated",105.95,76.56,3.19,"Dekalb","John Deere"
"Free State",25.68,764,"Rainfed",158.8,228.16,3.803,"Pannar","Case"
"Free State",17.54,395.1,"Rainfed",146.94,70.3,3.308,"Pannar","Case"
"Free State",21.09,925.4,"Rainfed",140.9,70.56,3.665,"Dekalb","John Deere"
"Free State",17.84,541.1,"Rainfed",87.1,104.95,3.098,"Pioneer","Case"
"Mpumalanga",19.92,748.9,"Rainfed",128.3,270.38,3.576,"Pannar","Case"
"Free State",24.48,715.3,"Rainfed",152.82,142.53,3.897,"Pannar","Case"
"Free State",18.54,894.8,"Rainfed",87.63,152.53,3.52,"Dekalb","John Deere"
"Free State",26.36,495.5,"Irrigated",187.02,123.5,3.002,"Dekalb","John Deere"
"Mpumalanga",22.87,738.4,"Rainfed",294.66,153.29,4.002,"Pioneer","John Deere"
"Free State",20.38,531.7,"Rainfed",229.27,180.04,3.257,"Dekalb","John Deere"
"Free State",24.91,852.7,"Rainfed",117.19,186.08,3.22,"Pioneer","John Deere"
"Free State",26.99,858.1,"Irrigated",124.45,249.77,3.322,"Pioneer","John Deere"
"Mpumalanga",25.18,516.7,"Rainfed",134.98,96.23,3.185,"Pannar","Case"
"Free State",23.15,864.2,"Rainfed",212.74,126.71,3.582,"Pioneer","John Deere"
"North West",27.53,724.4,"Rainfed",161.75,163.32,3.593,"Pannar","John Deere"
"Mpumalanga",21.74,423.4,"Rainfed",110.12,196.05,3.38,"Dekalb","New Holland"
"Mpumalanga",26.32,951.2,"Rainfed",86.56,117.25,3.765,"Pioneer","John Deere"
"Mpumalanga",25.38,572,"Rainfed",208.57,181.45,3.622,"Dekalb","New Holland"
"Free State",27.34,438.4,"Rainfed",105.59,106.56,3.084,"Pioneer","New Holland"
"Free State",22.85,634.5,"Irrigated",203.13,116.81,3.701,"Dekalb","John Deere"
"North West",29.87,757,"Rainfed",169.67,213.02,3.097,"Pioneer","Case"
"Free State",25.61,490.6,"Rainfed",223.47,58.93,3.454,"Dekalb","John Deere"
"Mpumalanga",18.87,745.8,"Rainfed",261.75,149.97,3.447,"Dekalb","John Deere"
"Free State",17.09,658.4,"Rainfed",89.89,205.02,3.288,"Dekalb","New Holland"
"Mpumalanga",23.93,625.6,"Rainfed",253.88,116.64,3.836,"Dekalb","New Holland"
"Free State",17.88,285.8,"Rainfed",220.27,179.38,3.499,"Pannar","Case"
"Free State",24.01,466.1,"Rainfed",144.36,99.34,3.639,"Pioneer","John Deere"
"Free State",25,340,"Rainfed",163.11,146.66,3.455,"Pioneer","Case"
"Free State",26.26,399.7,"Rainfed",202.39,136.52,3.204,"Pioneer","John Deere"
"Free State",24.76,782.7,"Rainfed",217.73,134.21,3.683,"Pioneer","John Deere"
"North West",24.34,301.8,"Rainfed",79.45,77.16,3.229,"Dekalb","Case"
"North West",32.93,804,"Rainfed",305.58,126.46,3.734,"Dekalb","John Deere"
"Free State",30.95,415,"Rainfed",90.47,94.71,4.177,"Dekalb","John Deere"
"Free State",27.52,805.4,"Rainfed",67.98,115.87,3.603,"Pannar","John Deere"
"North West",18.28,828.1,"Rainfed",246.65,214.17,3.741,"Pioneer","John Deere"
"Mpumalanga",26.2,793.2,"Rainfed",86.58,105.7,3.635,"Dekalb","New Holland"
"North West",27.72,389.4,"Rainfed",149.55,133.97,3.838,"Pannar","New Holland"
"Free State",26.1,483.3,"Rainfed",92.86,142.29,3.102,"Pannar","John Deere"
"Free State",26.49,1103.7,"Rainfed",76.78,124.96,3.244,"Pioneer","John Deere"
"Mpumalanga",21.71,377.1,"Rainfed",136.34,194.4,3.507,"Pannar","John Deere"
"Free State",23.7,1082,"Rainfed",216.5,133.39,3.522,"Pannar","Case"
"Free State",28.08,715.4,"Rainfed",188.1,145.6,3.145,"Pannar","John Deere"
"Free State",26.85,435,"Rainfed",125.22,91.56,2.944,"Pioneer","Case"
"North West",32.95,392.6,"Rainfed",163.39,114.71,3.301,"Dekalb","John Deere"
"Mpumalanga",29.15,1057.3,"Rainfed",157.74,102,4.01,"Pioneer","John Deere"
"Free State",26.66,318.3,"Rainfed",162.85,167.78,4.133,"Pannar","John Deere"
"Free State",24.83,299.9,"Rainfed",136.11,226.62,3.716,"Pannar","John Deere"
"North West",16.95,285,"Rainfed",191.73,110.79,3.009,"Dekalb","John Deere"
"Free State",34.77,697,"Rainfed",103.87,50.85,3.687,"Pioneer","Case"
"Free State",22.07,719.1,"Rainfed",193.08,93.39,3.352,"Pioneer","New Holland"
"Free State",33.5,422,"Rainfed",142.41,89.78,3.481,"Dekalb","New Holland"
"Free State",25.5,843.3,"Rainfed",142.64,229.58,3.715,"Pannar","Case"
"Free State",30.15,878.3,"Rainfed",221.96,144.83,3.994,"Dekalb","John Deere"
"Free State",23.56,740.3,"Rainfed",137.18,272.24,3.55,"Pannar","Case"
"Free State",26.05,496.7,"Rainfed",108.25,162.4,3.267,"Dekalb","John Deere"
"Mpumalanga",22.64,650.4,"Rainfed",98.7,68.39,3.735,"Pioneer","John Deere"
"Free State",23.26,770.2,"Rainfed",218.52,169.32,3.76,"Pannar","John Deere"
"Mpumalanga",21.64,731.2,"Rainfed",61.08,97.53,3.788,"Dekalb","John Deere"
"Free State",28.05,190.1,"Rainfed",137.8,135.96,3.786,"Dekalb","John Deere"
"Free State",23.19,238.3,"Rainfed",177.66,129.93,3.553,"Pioneer","John Deere"
"Mpumalanga",15.89,543.6,"Rainfed",91.75,127.51,3.239,"Pannar","John Deere"
"North West",27.02,427.2,"Rainfed",164.97,117.34,3.508,"Pannar","John Deere"
"Free State",26.16,393.9,"Rainfed",218.63,318.91,2.94,"Pioneer","Case"
"North West",31.08,605.1,"Rainfed",75.81,265.69,3.814,"Pannar","John Deere"
"Mpumalanga",23.85,753.6,"Rainfed",112.86,91.6,3.662,"Dekalb","Case"
"Mpumalanga",16.92,574,"Rainfed",347.59,148.46,3.732,"Pannar","Case"
"Free State",25.47,610.2,"Rainfed",124.57,226.6,3.539,"Dekalb","Case"
"Free State",27.87,423.4,"Rainfed",109.14,221.74,2.747,"Pannar","John Deere"
"Free State",29.11,299.3,"Rainfed",114.28,91.35,3.266,"Dekalb","John Deere"
"Free State",23.1,219.9,"Rainfed",136.79,254.14,3.749,"Dekalb","John Deere"
"Mpumalanga",21.03,594.9,"Rainfed",178,99.42,3.425,"Pioneer","Case"
"North West",35.44,491.4,"Rainfed",122.01,143.79,3.692,"Pioneer","John Deere"
"Mpumalanga",17,706.1,"Rainfed",179.19,146.5,3.251,"Dekalb","John Deere"
"Free State",22.25,435.1,"Rainfed",221.6,57.97,3.565,"Dekalb","New Holland"
"Free State",25.83,589,"Irrigated",189.72,128.12,3.323,"Dekalb","John Deere"
"Free State",17.53,706.4,"Rainfed",226.15,53.51,3.336,"Pioneer","John Deere"
"Free State",25.12,427.3,"Rainfed",117.07,56.79,3.42,"Pioneer","John Deere"
"Free State",31.51,592,"Rainfed",156.13,156.71,3.98,"Pioneer","Case"
"Free State",23.98,687.5,"Rainfed",218.08,158.16,3.555,"Dekalb","John Deere"
"Mpumalanga",21.16,804.8,"Rainfed",168.37,209.48,3.592,"Pannar","John Deere"
"Free State",25.9,757,"Rainfed",180.03,160.87,3.98,"Pannar","John Deere"
"Mpumalanga",21.16,1032.8,"Rainfed",168.08,100.79,3.459,"Pioneer","New Holland"
"Free State",27.25,759.7,"Rainfed",177.77,95.27,3.652,"Dekalb","New Holland"
"Mpumalanga",24.71,656.1,"Irrigated",162.77,194.27,3.281,"Dekalb","John Deere"
"Free State",24.01,1063.3,"Rainfed",103.14,258.84,3.791,"Pioneer","John Deere"
"Mpumalanga",18.47,549.3,"Rainfed",177.1,193.77,3.109,"Dekalb","John Deere"
"Free State",18.73,823.2,"Rainfed",135.57,149.67,3.519,"Dekalb","Case"
"Mpumalanga",20.22,710.9,"Rainfed",302.6,131.83,3.859,"Dekalb","John Deere"
"Free State",27.19,479.7,"Rainfed",131.36,280.04,3.874,"Pannar","John Deere"
"North West",18.21,378.5,"Rainfed",175.46,44.98,3.473,"Dekalb","John Deere"
"North West",18.57,533.4,"Rainfed",71.17,211.21,2.794,"Pioneer","John Deere"
"Mpumalanga",20.04,556.3,"Rainfed",124.35,126.18,4.001,"Pannar","John Deere"
"Free State",25.58,593.6,"Rainfed",115.71,82.42,3.302,"Dekalb","John Deere"
"Free State",20.35,660.8,"Rainfed",277.49,197.06,3.731,"Pioneer","New Holland"
"Free State",27.55,508.7,"Rainfed",154.27,87.97,2.965,"Dekalb","Case"
"Free State",25.33,758.1,"Rainfed",174.93,158.35,3.371,"Pioneer","John Deere"
"Free State",23.32,708.9,"Rainfed",186.85,147.6,3.997,"Pioneer","New Holland"
"Mpumalanga",24.46,861.7,"Rainfed",131.28,144.72,3.62,"Dekalb","John Deere"
"Free State",25.55,252,"Rainfed",186.89,59.74,3.562,"Pioneer","New Holland"
"Free State",22.22,493,"Rainfed",311.84,146.09,3.762,"Pioneer","John Deere"
"Free State",24.92,1094.4,"Rainfed",213.75,109.2,3.127,"Pannar","Case"
"North West",31.24,504.6,"Rainfed",222.77,99.46,3.468,"Dekalb","John Deere"
"North West",29.78,293.4,"Rainfed",115.41,80.38,3.588,"Pannar","John Deere"
"North West",24.71,759,"Rainfed",177.48,82,3.847,"Pioneer","John Deere"
"Mpumalanga",24.57,371.8,"Rainfed",186.3,93.39,3.23,"Dekalb","Case"
"North West",33.76,717.1,"Rainfed",124.55,236.43,3.538,"Pannar","Case"
"Free State",25.11,1227.1,"Rainfed",172.89,185.06,3.747,"Dekalb","John Deere"
"Free State",24.58,801.2,"Rainfed",380.21,153.56,4.626,"Dekalb","Case"
"Free State",23.7,437.1,"Rainfed",108.75,291.21,3.959,"Dekalb","John Deere"
"Free State",32.65,607.7,"Rainfed",208.01,278.02,2.751,"Pioneer","John Deere"
"Free State",25.11,1060.6,"Rainfed",104.26,202.94,3.538,"Pannar","John Deere"
"Free State",23.37,464.8,"Rainfed",191,80.38,3.543,"Dekalb","New Holland"
"North West",15.46,570.7,"Rainfed",105.69,256.78,3.772,"Dekalb","John Deere"
"Free State",17.74,383.8,"Rainfed",211.34,124.26,3.291,"Pannar","John Deere"
"Free State",23.69,452.5,"Rainfed",95.99,122.05,3.783,"Dekalb","Case"
"Free State",24.83,617,"Rainfed",165.92,151.04,3.286,"Pannar","John Deere"
"Mpumalanga",22.83,1094.6,"Rainfed",290.71,139.78,3.513,"Pioneer","John Deere"
"Mpumalanga",24.46,620.7,"Rainfed",149.66,109.17,3.677,"Pannar","John Deere"
"North West",27.03,331.2,"Rainfed",157.22,184.22,3.277,"Pioneer","John Deere"
"Free State",28.86,463,"Rainfed",298.57,109.74,3.49,"Pannar","Case"
"Free State",20.31,739.9,"Rainfed",390.48,105.79,3.996,"Dekalb","John Deere"
"Mpumalanga",18.37,860.6,"Rainfed",472.05,121.42,3.402,"Pannar","John Deere"
"Mpumalanga",18.31,1223.9,"Rainfed",139.17,97.02,3.226,"Pannar","New Holland"
"Free State",26.97,578.5,"Rainfed",105.09,145.52,3.699,"Pioneer","Case"
"Free State",23.67,631.3,"Rainfed",216.87,130.18,3.264,"Dekalb","John Deere"
"Free State",27.16,385.1,"Rainfed",197.9,119.2,3.384,"Pioneer","New Holland"
"Free State",22.93,441.9,"Rainfed",283.86,167,3.638,"Pannar","Case"
"Free State",21.63,466.6,"Rainfed",175.32,60.47,3.631,"Dekalb","John Deere"
"Free State",22.53,618.2,"Rainfed",176.11,152.04,3.857,"Pannar","Case"
"Free State",16.59,622.5,"Rainfed",312.79,202.79,3.323,"Pioneer","John Deere"
"Free State",19.32,673.6,"Rainfed",176.2,200.92,3.425,"Pannar","New Holland"
"Mpumalanga",17.67,649.4,"Rainfed",219.75,366.04,3.327,"Pannar","Case"
"Free State",28.22,762.5,"Rainfed",202.05,102.32,3.445,"Pioneer","Case"
"Free State",21.61,741.7,"Rainfed",161.41,87.98,4.114,"Pannar","John Deere"
"Free State",27.16,1089.4,"Rainfed",131.07,157.1,3.509,"Pioneer","John Deere"
"North West",35.58,218.9,"Irrigated",142.52,64.33,3.408,"Pioneer","John Deere"
"Mpumalanga",21.42,1149.3,"Rainfed",71.92,232.65,3.708,"Dekalb","John Deere"
"Mpumalanga",22.85,891.9,"Irrigated",283.05,85.4,3.161,"Dekalb","John Deere"
"North West",19.24,447.4,"Rainfed",83.56,165.14,3.787,"Dekalb","Case"
"Free State",20.73,697.1,"Rainfed",128,117,3.5,"Pioneer","John Deere"
"Free State",24.22,654.5,"Irrigated",140.55,47.27,3.288,"Pioneer","John Deere"
"Mpumalanga",22.9,922.4,"Rainfed",274.42,152.51,3.641,"Pannar","John Deere"
"Mpumalanga",19.72,687.5,"Irrigated",168.58,83.31,3.465,"Dekalb","John Deere"
"Free State",34.74,540.8,"Rainfed",245.6,204.69,3.403,"Dekalb","John Deere"
"Mpumalanga",20.62,736.8,"Rainfed",145.17,45.79,3.487,"Dekalb","New Holland"
"Mpumalanga",22.19,924.5,"Irrigated",334.44,128.25,3.996,"Pioneer","John Deere"
"Mpumalanga",23.95,851.8,"Rainfed",202.27,85.16,3.352,"Pioneer","New Holland"
"Free State",23.9,616.7,"Rainfed",207.51,224.18,3.784,"Dekalb","Case"
"Free State",21.43,567.8,"Irrigated",238.75,98.4,3.552,"Dekalb","John Deere"
"Free State",28.18,596.3,"Rainfed",87.66,205.88,3.396,"Pioneer","John Deere"
