"region","rainfall_mm","temperature_C","fertiliser_kgha","chem_weed_control_kgha","irrigation","soil_organic_matter","seed_brand","tractor_brand","yield_tha"
"North West",926.7,24.01,162.11,230.77,"Rainfed",3.944,"Dekalb","John Deere",8.70060361073636
"Mpumalanga",940.2,22.05,174.99,175.14,"Rainfed",3.585,"Dekalb","John Deere",7.35580182989834
"Free State",610.7,24.19,153.9,240.36,"Irrigated",3.758,"Pannar","John Deere",6.42170188693788
"Free State",261.3,23.16,153.28,219.57,"Rainfed",3.527,"Dekalb","John Deere",5.52631828451313
"North West",577,23.43,333.76,187.43,"Rainfed",3.776,"Dekalb","John Deere",6.85734677697824
"Free State",734.9,26.63,252.73,134.59,"Rainfed",3.673,"Dekalb","John Deere",7.47003699826466
"Free State",441.6,25.49,132.57,211.88,"Rainfed",3.649,"Pannar","Case",4.57464023143374
"Mpumalanga",1156.4,22.37,248.49,160.92,"Irrigated",4.23,"Dekalb","John Deere",9.91826320696324
"Free State",556.5,25.95,247.94,288.67,"Rainfed",3.518,"Pannar","New Holland",5.47767582226853
"Free State",599.4,18.1,337.87,201.46,"Rainfed",3.699,"Pioneer","Case",7.62573181056374
"Free State",547,24.31,167.15,261.27,"Rainfed",3.721,"Dekalb","Case",6.38287471557703
"Free State",554.8,20.73,118.67,221.91,"Rainfed",3.572,"Dekalb","John Deere",6.16620345235507
"North West",333.4,30.24,114.97,208.45,"Rainfed",3.681,"Pioneer","New Holland",3.28452267093223
"Free State",281.4,23.21,262.7,171.36,"Rainfed",3.586,"Pioneer","John Deere",3.83443520043969
"Free State",833.8,23.08,167.48,182.15,"Rainfed",3.79,"Dekalb","John Deere",7.28270346246999
"Free State",684.3,25.79,371.47,173.16,"Rainfed",3.508,"Dekalb","John Deere",8.56527426764435
"Mpumalanga",468.5,24.66,222.05,163.52,"Rainfed",3.854,"Dekalb","John Deere",6.29922467554585
"Mpumalanga",633.1,26.02,213.4,331.07,"Rainfed",3.857,"Dekalb","John Deere",8.56958337850414
"North West",684.2,23.22,329.46,160.67,"Rainfed",3.404,"Dekalb","New Holland",8.08474211405565
"Mpumalanga",743,22.1,115.09,220.56,"Rainfed",4.04,"Dekalb","John Deere",7.37141041976176
"Mpumalanga",640.9,26.99,285.61,236.84,"Rainfed",3.535,"Dekalb","John Deere",7.03857001559985
"Free State",327,24.34,342.43,97.66,"Rainfed",3.405,"Pannar","John Deere",3.36057474689498
"Mpumalanga",819.6,19.14,150.12,151.7,"Rainfed",3.618,"Pannar","New Holland",7.52239659304846
"Mpumalanga",668.7,21.11,176.77,139.25,"Rainfed",3.423,"Pannar","Case",5.99281790970601
"Mpumalanga",852,22.71,237.39,232.56,"Rainfed",3.932,"Pannar","New Holland",8.47945068825601
"North West",811.5,28.87,130.56,200.78,"Rainfed",3.336,"Dekalb","New Holland",4.95311272751703
"Free State",574.3,21.91,200.1,172.61,"Rainfed",3.432,"Dekalb","New Holland",6.25230400062031
"Free State",497.8,24.4,148.78,209.52,"Rainfed",3.352,"Pannar","New Holland",5.01367506625223
"Free State",528.7,25.28,210.97,179.48,"Rainfed",3.688,"Pannar","John Deere",6.66276042795368
"Free State",495.1,27.55,166.71,177.6,"Rainfed",3.421,"Dekalb","John Deere",4.47764487926834
"Free State",575.5,22.38,238.58,239.55,"Rainfed",3.658,"Dekalb","John Deere",6.5644035189749
"Mpumalanga",557.8,24.18,177.11,124.93,"Rainfed",3.468,"Dekalb","John Deere",4.92211826867032
"Free State",777.3,16.15,170.17,216.21,"Rainfed",3.898,"Pioneer","John Deere",7.45883762487925
"Free State",295.2,23.63,196.22,134.54,"Rainfed",3.38,"Pannar","John Deere",4.62352209298284
"Free State",1056.8,18.58,315.35,165.97,"Irrigated",4.302,"Dekalb","New Holland",9.93308945086453
"Free State",364.7,20.14,217.59,177.78,"Rainfed",3.594,"Dekalb","John Deere",5.50783484992964
"Mpumalanga",993.1,22.19,234.15,301.69,"Rainfed",3.724,"Dekalb","Case",9.14370160763113
"Mpumalanga",864.1,25.09,164.41,272.76,"Rainfed",3.984,"Dekalb","New Holland",6.95054654777955
"Free State",546.4,16.35,116.53,126.72,"Rainfed",3.681,"Dekalb","John Deere",5.27099450860375
"Free State",798.5,20.04,362.78,292.45,"Rainfed",3.653,"Pioneer","Case",7.90344663911349
"Free State",615.5,22.41,274.97,185.37,"Irrigated",3.503,"Pannar","New Holland",6.55784626328274
"Free State",357.5,20.41,114.42,216.14,"Rainfed",3.629,"Dekalb","John Deere",4.33882905185253
"Free State",690,22.76,126.05,308,"Rainfed",3.411,"Pannar","Case",5.78319326429142
"Free State",637,23.2,220.95,198.35,"Irrigated",3.976,"Pioneer","John Deere",7.20407291761607
"Free State",468.8,22.54,162.92,134.36,"Rainfed",3.391,"Pannar","Case",3.87044465059129
"Free State",872.8,13.63,214.49,223.55,"Rainfed",3.607,"Dekalb","John Deere",8.74821407378925
"Free State",599.7,29.83,337.65,186.44,"Irrigated",3.294,"Pannar","John Deere",6.37992540229407
"Free State",562.2,21.65,109.94,105.01,"Rainfed",3.4,"Pioneer","Case",5.3574872338054
"Free State",530,24.35,385.37,227.97,"Irrigated",3.794,"Dekalb","New Holland",7.41732707961893
"Mpumalanga",757,24.04,235.61,204.83,"Rainfed",3.325,"Pioneer","John Deere",6.12984302336805
"Free State",288.3,26.44,165.49,148.23,"Rainfed",3.338,"Pioneer","John Deere",3.96735212825216
"Free State",561.9,24.72,211.16,253.41,"Rainfed",3.59,"Pannar","John Deere",6.26315661936676
"Free State",434.1,22.15,130.08,113.36,"Rainfed",3.262,"Pioneer","New Holland",3.94021678947233
"Mpumalanga",977.4,23.36,313.21,177.27,"Rainfed",3.895,"Pioneer","John Deere",7.89961367925615
"Free State",542.6,19.51,251.73,191.17,"Rainfed",3.169,"Dekalb","John Deere",6.20351944744511
"Free State",803.9,23.87,129.93,149.08,"Rainfed",3.347,"Dekalb","John Deere",5.6503435888944
"Free State",469.9,21.26,131.15,182,"Rainfed",3.884,"Dekalb","New Holland",4.87314182600462
"Mpumalanga",548.3,29.16,175.9,150.27,"Rainfed",3.85,"Pannar","John Deere",5.57332005301601
"Free State",875.5,16.06,206.73,293.38,"Irrigated",4.077,"Pioneer","John Deere",9.19908791903966
"North West",741.5,25.16,166.76,386.59,"Irrigated",4.162,"Pannar","John Deere",7.68775773455426
"Mpumalanga",1057.2,23.94,180.93,300.65,"Rainfed",3.705,"Dekalb","Case",9.44438856095645
"Mpumalanga",538.7,25.38,167.84,330.79,"Rainfed",3.911,"Dekalb","John Deere",6.17435937846692
"Mpumalanga",713.4,22.49,123.51,162.57,"Rainfed",3.432,"Pannar","John Deere",5.06318616155496
"Free State",584.2,19.19,181.49,309.42,"Rainfed",3.863,"Pioneer","Case",6.27316248866241
"Free State",796.7,21.76,143.25,223.5,"Rainfed",3.378,"Dekalb","John Deere",6.71071932037828
"North West",588.5,27.12,99.38,151.85,"Rainfed",3.631,"Pioneer","John Deere",4.30869074545324
"Free State",312.2,17.9,127.94,137.74,"Rainfed",3.125,"Dekalb","John Deere",3.8556047225242
"Mpumalanga",969.7,22.71,163.3,352.2,"Rainfed",3.458,"Pioneer","New Holland",7.34518212513603
"Free State",860.9,21.64,354.92,226.73,"Rainfed",3.618,"Pioneer","John Deere",8.59842235643293
"Mpumalanga",750,23.87,169.14,207.23,"Rainfed",3.53,"Dekalb","Case",6.38703472564818
"Free State",600.4,18.95,222.53,270.01,"Rainfed",3.751,"Dekalb","Case",5.78687586952212
"Free State",692.3,23.18,170.91,140.41,"Rainfed",3.626,"Pioneer","John Deere",6.33024636927709
"Free State",645.3,26.07,158.15,287.26,"Rainfed",3.86,"Dekalb","John Deere",6.84624118208686
"Free State",634.3,23.35,131.88,163.36,"Rainfed",3.914,"Pioneer","John Deere",5.83414850207974
"Free State",482.7,19.18,105.93,109.76,"Rainfed",3.772,"Pannar","Case",5.50289708590509
"North West",999.3,24.21,252.42,233.55,"Rainfed",3.742,"Pioneer","John Deere",6.9986152799528
"North West",377.8,29.04,333.37,305.05,"Rainfed",3.522,"Dekalb","John Deere",6.11775321146801
"Free State",617.3,20.11,215.99,152.6,"Rainfed",3.671,"Pannar","John Deere",6.1756107638838
"Free State",893.7,14.47,240.82,129.68,"Rainfed",4.118,"Pioneer","John Deere",8.71644197177168
"North West",251.4,31.16,167.82,242.5,"Rainfed",3.335,"Pannar","John Deere",4.96995680704817
"Mpumalanga",1031.7,20.73,301.24,166.55,"Rainfed",3.764,"Pioneer","John Deere",8.46282438865439
"North West",754.6,24.78,233.7,183.39,"Rainfed",3.809,"Dekalb","John Deere",7.61115509954268
"Free State",570,26.75,104.53,233.95,"Rainfed",3.088,"Dekalb","John Deere",3.42517860280533
"Free State",365.9,20.73,86.57,225.55,"Rainfed",3.534,"Pannar","John Deere",4.41223996975871
"Mpumalanga",1024.6,24.11,205.09,199.99,"Rainfed",3.675,"Pioneer","New Holland",7.41494187995072
"Free State",395.7,19.15,119.54,274.24,"Rainfed",3.498,"Pannar","New Holland",3.98305550084276
"Free State",625.8,20.95,239.3,174.43,"Rainfed",3.822,"Pannar","New Holland",7.04431004837391
"Free State",345.6,22.91,146.61,242.87,"Rainfed",3.55,"Pannar","John Deere",6.13241348768717
"North West",394.2,24.44,264.29,198.94,"Rainfed",3.686,"Pannar","New Holland",4.90450181407816
"Mpumalanga",797.6,22.06,373.87,304.44,"Rainfed",3.834,"Pioneer","New Holland",8.76982408136705
"Free State",385.7,22.89,344.21,254.29,"Rainfed",3.453,"Dekalb","John Deere",5.44699661597389
"Free State",599.4,24.13,177.57,202.71,"Rainfed",3.409,"Pioneer","John Deere",6.89365888294625
"North West",250.6,23.56,120.93,162.65,"Rainfed",3.43,"Pannar","John Deere",4.49791224491832
"Free State",644.9,20.89,184.29,284.61,"Rainfed",4.089,"Pioneer","John Deere",6.61183439189291
"Free State",439.6,25.03,107.5,171.05,"Rainfed",3.154,"Dekalb","John Deere",3.82729599508409
"Free State",302.8,21.69,287.41,221.28,"Rainfed",3.607,"Dekalb","New Holland",5.59537222118883
"Free State",619.3,22.72,101.94,124.22,"Rainfed",3.5,"Dekalb","John Deere",5.40792322420017
"Free State",733,23.06,133.25,224.63,"Rainfed",3.518,"Pannar","Case",6.22081919032581
"Free State",765.9,22.26,247.43,162.41,"Rainfed",3.86,"Pioneer","New Holland",6.26458492847044
"Free State",934.6,22.74,237.97,271.28,"Rainfed",3.762,"Pioneer","John Deere",7.86106644107699
"Mpumalanga",1347.7,20.88,311.83,391.88,"Rainfed",4.329,"Pioneer","New Holland",8.91016939500158
"Free State",854.1,19.86,152.58,129.34,"Rainfed",3.62,"Dekalb","John Deere",8.03208844257681
"Mpumalanga",1266.2,16.17,151.86,281.45,"Rainfed",3.662,"Dekalb","John Deere",9.48054174729195
"Free State",718.2,21.37,285.43,178.86,"Rainfed",3.517,"Dekalb","New Holland",7.08011418372765
"Free State",930,22.09,257.36,146.06,"Rainfed",3.584,"Pioneer","John Deere",8.17861361504703
"Mpumalanga",1081.7,23.26,482.87,238.52,"Rainfed",4.136,"Pannar","New Holland",9.03494967623233
"North West",428.6,26.14,119.71,238.67,"Rainfed",3.502,"Pioneer","John Deere",3.93160723656719
"Free State",274.8,28.76,81.01,147.17,"Rainfed",3.474,"Pannar","New Holland",2.85120481011579
"North West",420.1,28.7,246.95,194.62,"Rainfed",3.551,"Pioneer","John Deere",3.90392409520134
"Mpumalanga",707.6,23.94,361.59,284.82,"Rainfed",3.943,"Pannar","Case",8.19979356670495
"Mpumalanga",892.2,25.49,198.02,247.37,"Rainfed",3.969,"Dekalb","Case",7.19497075834802
"Free State",412.4,20.71,251.18,197.35,"Rainfed",3.809,"Pioneer","Case",5.53380234839222
"Free State",557.2,20.94,159.95,128.45,"Rainfed",3.547,"Pioneer","John Deere",5.92635853909582
"Free State",644,29.13,289.94,163.15,"Rainfed",3.439,"Pioneer","John Deere",5.10070513227755
"Free State",419.3,22.87,207.44,219.44,"Rainfed",3.675,"Pioneer","John Deere",4.70204553725908
"Mpumalanga",853.9,26.37,246.23,191.39,"Rainfed",3.91,"Pioneer","John Deere",6.57800681263222
"North West",240.2,24.24,97.59,87.61,"Rainfed",3.22,"Pannar","John Deere",3.37786522719664
"Mpumalanga",892.9,22.56,167,251.23,"Rainfed",3.925,"Dekalb","Case",6.88761250571713
"Free State",462.3,23.8,146.59,374.76,"Rainfed",3.403,"Dekalb","John Deere",6.18883966855353
"Free State",753,22.41,233.73,301.03,"Irrigated",3.682,"Pioneer","New Holland",6.93715267025506
"Free State",503.8,19.49,110.99,156.36,"Rainfed",3.505,"Dekalb","John Deere",5.9119929997877
"Free State",617,22.11,242.36,136.28,"Rainfed",3.601,"Dekalb","John Deere",6.96755402298535
"Free State",415.9,19.62,126.43,145.02,"Rainfed",3.043,"Dekalb","John Deere",4.1202250649871
"Free State",651.9,24.05,215.77,232.15,"Rainfed",3.706,"Pioneer","John Deere",4.86355516562335
"Mpumalanga",476.3,26.78,101.33,188.35,"Rainfed",3.294,"Dekalb","New Holland",5.51216117183353
"Free State",773.6,14.75,149.07,188.49,"Rainfed",3.689,"Dekalb","New Holland",7.18851334217222
"Mpumalanga",662,26.34,480.44,269.49,"Irrigated",3.538,"Pioneer","Case",8.37266275116166
"Free State",661.8,18.15,238.96,145.02,"Rainfed",3.735,"Dekalb","John Deere",8.04325540321673
"Mpumalanga",772.4,24.34,206.36,226.04,"Rainfed",3.642,"Dekalb","John Deere",7.42703587983648
"Free State",620,24.02,128.9,239.55,"Rainfed",3.788,"Pannar","John Deere",5.52785552924395
"Mpumalanga",1442.1,20.35,202.87,383.97,"Rainfed",4.193,"Pioneer","Case",9.17803375875202
"Free State",391.6,21.02,121.55,83.56,"Rainfed",3.64,"Pioneer","John Deere",4.20325902973125
"Mpumalanga",1065.8,22.59,256.02,187.08,"Rainfed",3.466,"Dekalb","John Deere",8.39457654323491
"Free State",792.9,22.66,430.38,115.1,"Rainfed",3.908,"Dekalb","New Holland",8.84082780231664
"North West",579.5,29.85,345.38,179.87,"Rainfed",3.214,"Pioneer","John Deere",6.4254043677309
"North West",450.3,21.56,193.66,268.05,"Rainfed",4.069,"Pannar","Case",6.1779114371786
"Mpumalanga",625.4,20.74,166.13,173.13,"Rainfed",3.688,"Pannar","John Deere",5.64158284227307
"Free State",647.1,26.22,329.31,185.51,"Rainfed",3.432,"Pioneer","John Deere",8.20885496761508
"Free State",876.9,24.15,319.67,268.87,"Rainfed",3.805,"Pannar","Case",7.90361033255142
"Free State",506.9,23.8,171.97,158.08,"Rainfed",3.61,"Pannar","John Deere",6.87663210469196
"Free State",711.1,23.82,385.31,310.17,"Rainfed",3.982,"Dekalb","New Holland",8.04335221085107
"Free State",828.9,23.95,241.6,326.12,"Rainfed",3.981,"Dekalb","John Deere",7.67693953546557
"Mpumalanga",1099.7,16.8,176.05,194.02,"Rainfed",3.176,"Pannar","John Deere",8.76187173943327
"Free State",558.9,25.61,131.85,234.72,"Rainfed",3.744,"Pannar","Case",6.03244367093311
"Free State",609.6,20.62,148.61,376.35,"Rainfed",3.28,"Pannar","John Deere",6.38290560258376
"Free State",505.1,23.19,218.75,239.85,"Rainfed",3.745,"Pannar","John Deere",4.92529896054221
"North West",481.5,26.71,155.67,184.66,"Rainfed",3.201,"Pioneer","Case",2.89228993532691
"North West",256.5,31.11,137.67,231.78,"Rainfed",3.294,"Pioneer","John Deere",3.32651415716878
"North West",333.6,27.14,159.84,227.55,"Irrigated",3.482,"Dekalb","Case",4.68178597446608
"Mpumalanga",788.3,24.4,340.19,154,"Rainfed",4.221,"Dekalb","John Deere",8.44155953124986
"North West",610.8,25.9,191.74,247.96,"Rainfed",3.478,"Pannar","John Deere",6.23058096785294
"Free State",520,19.16,271.2,286.82,"Rainfed",4.174,"Pannar","John Deere",6.51392083439941
"Free State",539.2,25.99,144.61,287.14,"Rainfed",3.257,"Pannar","John Deere",4.0530214389368
