x_sex;x_pt;x_visits;x_height;x_caloric_balance_weekly;x_time;Weight(kg)
1;0;5;175.48;1379;52;83.5203648519867
1;0;1;165.94;322;54;81.8175682814318
0;0;2;160.1;350;34;66.6974111532666
0;1;1;168.09;287;62;68.5297266831209
1;0;5;172.55;287;46;84.5110138990084
0;1;3;162.49;-924;55;65.9042354724595
0;1;3;159.29;-1400;65;55.8041910477497
0;1;1;171.99;819;63;72.5841982761067
1;0;1;184.47;84;69;82.8528063441874
1;0;3;176.51;-77;62;77.4363770085855
0;0;2;161.33;392;44;62.6018382267088
1;0;1;189.63;497;58;85.320540514166
1;0;1;177.35;854;53;84.4771331419192
0;0;3;164.66;-238;46;64.8094437988718
0;0;1;154.73;1155;38;62.6330413431348
0;0;4;150.75;686;48;54.2898453845914
1;0;3;169.23;413;69;67.7590029192613
1;0;4;170.11;-700;56;73.6540678025724
1;0;5;171.13;399;52;67.1351971981461
1;0;3;177;231;66;83.0811974716894
0;0;0;162.15;161;0;68.9051168742773
0;0;1;152.75;-371;47;48.8119499367421
1;0;6;170.26;770;50;73.0098237627552
1;0;2;172.73;1029;60;84.0004791131653
1;0;2;183.49;483;53;74.1056966769699
0;0;1;160.25;742;45;67.4314744747101
1;0;4;183.39;-441;55;86.1986508410632
0;0;2;161.04;98;48;63.6646274463937
1;0;6;176.8;-532;53;68.3777599138099
0;0;3;168.58;-126;43;61.1623960565512
0;1;0;152.14;-658;0;50.2766297346597
0;0;3;169.03;539;37;62.7993821823537
1;1;6;176.91;-413;77;75.5656360792475
1;0;6;189.65;1169;52;90.9010409714752
0;0;3;155.54;-70;42;60.605224606593
0;1;2;172.45;-735;64;73.3065816995489
0;0;3;171.05;-196;45;72.9711937924275
1;0;1;183.21;-385;59;84.0870277945714
0;1;2;169.88;-1155;54;77.4951461312783
1;0;2;172.76;-861;52;81.2800784701827
1;0;1;177.27;546;50;76.4508088828546
1;0;1;183.81;-756;46;83.7689279596766
1;0;5;188.15;-70;49;97.9002402523906
1;0;6;179.08;7;57;88.5577766785875
1;0;0;183.09;210;0;77.9788411391715
1;0;2;183;644;53;83.1081715355078
0;0;2;157.86;238;50;65.3814821196366
1;0;3;176.91;-616;51;79.2870221601255
1;0;6;174.96;441;42;81.3169795089449
1;0;3;172.88;812;52;71.6999992084723
0;1;0;157.28;-406;0;62.4885736514971
1;0;0;186.62;308;0;89.7675386063319
1;0;0;175.98;126;0;82.9654623936798
1;0;0;174.54;497;0;76.8611035110099
0;0;3;158.01;399;37;62.3801959827173
1;1;2;184.78;238;68;88.966696128912
1;0;3;185.45;-42;40;89.5261273611481
0;0;4;161.36;490;46;65.5734686042893
1;0;6;175.41;-49;57;77.8870520559269
0;0;3;150.54;91;47;56.9968101899691
1;0;4;170.63;700;51;76.1578813063242
0;0;3;157.32;959;40;61.585823313774
0;1;4;158.32;-1876;51;59.9534436899871
0;0;3;172.17;749;44;83.3606762578992
0;0;1;153.43;84;48;62.0410150554633
0;1;3;147.22;-1127;46;52.9139214675845
0;0;4;159.71;217;38;68.7777334572903
0;1;3;159.17;-910;51;60.3245734831679
1;0;2;176.84;637;44;86.3127715416517
1;0;4;169.45;266;50;69.2849154111598
1;0;0;173.24;385;0;78.9853212591738
0;1;1;160.41;-1883;78;51.8773742863613
1;0;3;165.65;-210;53;65.3792083976679
0;0;4;155.71;987;44;61.072863870626
0;0;0;151.58;91;0;58.1967102227298
1;0;3;181.99;1148;43;86.1868168874854
0;0;0;167.21;1029;0;76.5986732276281
1;0;6;176.74;-133;43;78.0384820925129
1;1;0;171.87;-357;0;73.6610975175906
1;0;4;179.89;140;53;95.2006685997705
1;0;3;185.45;259;53;88.968909384462
0;1;2;164.6;-1386;59;66.4429214498968
0;0;0;156.04;-504;0;58.956907774656
0;0;4;172.53;-7;43;70.4376743723047
1;0;5;182.14;-490;48;86.8134609530417
1;0;3;181.22;392;66;82.3243840180003
1;0;0;168.51;476;0;80.7855609338579
1;0;6;178.99;679;46;81.2374018428939
0;1;0;158.94;-1162;0;62.4275590571441
0;1;3;150.21;-1295;69;50.6465958050225
0;1;4;159.66;-1099;52;56.2677184106032
0;0;2;157.3;77;42;69.2808776774224
1;0;1;173.69;49;50;83.1091264942655
1;0;2;159.16;-455;49;59.8984146405541
0;0;2;149.42;-28;43;56.3188077474095
0;0;4;164.04;322;47;66.7888990643361
1;0;4;171.64;-973;51;74.3633521089384
1;0;5;169.85;392;58;71.1086475742463
0;1;0;161.69;-315;0;62.0007288731057
0;0;2;166.81;630;42;64.4420897273113
1;0;3;175.88;805;55;82.5483930541999
1;0;0;175.65;-287;0;70.521612261195
0;0;3;163.05;-56;41;68.0115569010704
0;0;4;154.28;1141;40;61.8208153462598
1;0;4;175.69;161;59;79.3327409630215
0;0;1;157.39;777;37;64.0791952525722
1;0;1;165.65;462;51;79.7030632451545
1;0;2;176.49;112;67;72.4540363351607
1;0;0;166.36;1358;0;77.3040919671014
1;0;5;169.83;875;57;75.431592467906
0;0;1;173.59;-175;42;71.5296147458451
1;0;3;170.26;427;60;75.3594588346081
1;0;1;172.46;259;55;75.5749662831824
1;0;3;166.35;791;54;69.882762993817
0;0;1;172.76;0;49;62.2428681315635
1;1;5;181.36;-924;66;78.9974117948393
1;0;6;180.64;931;60;87.5392526232127
1;0;5;175.8;756;65;87.1340133600514
0;1;4;149.08;63;57;59.0862647511713
0;1;4;156.6;-875;58;58.1619781085754
1;1;2;164.78;-1036;62;60.2345683847437
1;0;4;170.37;1218;59;76.5137408647094
1;0;2;178.26;77;46;76.6883176116336
1;0;0;167.41;161;0;67.8988659776864
0;1;4;174.65;-1897;64;68.5334552200781
1;0;3;176.63;-826;55;77.0827005309675
0;1;3;166.59;-2814;50;62.0383492059804
1;0;5;181.32;35;53;82.1727068887807
0;0;2;167.07;-56;40;53.2743791483433
0;1;0;161.25;413;0;59.1200655684337
0;0;2;158.95;1701;45;67.3260750371416
1;0;6;181.08;623;54;89.967703712364
1;0;1;184.18;84;67;84.7121027716161
0;0;1;171.85;406;49;76.1960448889721
0;0;3;147.02;756;50;60.6935534908973
1;1;5;182.67;-1015;83;88.7256254624337
0;0;0;165.28;280;0;60.7584852327713
0;1;3;161.2;-1071;56;51.771476719722
1;1;5;172.89;539;61;82.0737332807519
1;0;2;171.47;266;46;73.8073474514571
0;1;3;153.64;-203;64;63.8656116601788
1;0;0;184.93;714;0;89.5439199717492
1;0;6;175.15;1169;60;78.0629592113629
1;0;0;172.85;84;0;75.0728487523115
1;0;0;177.83;889;0;84.8676132905723
1;0;3;173.66;833;45;75.0117467885658
0;1;0;169.44;-1267;0;63.397711119105
0;1;4;162.48;-406;51;72.3326712057806
1;0;1;166.62;630;52;75.447163445067
0;0;4;176.36;672;50;82.6718331897623
1;0;3;171.05;301;62;73.8609762489059
0;1;0;162.55;-168;0;66.2562269198075
0;1;2;162.78;-896;66;67.473340911938
0;0;3;167.04;-168;44;67.4761795769084
1;0;5;162.12;875;58;71.3471414491228
1;0;4;168.09;469;49;68.5813643668699
1;0;5;183.43;616;51;82.8518464890088
0;1;1;161.87;-1127;58;61.158521567084
1;0;0;185.91;728;0;90.2363195899317
1;0;5;178.78;182;49;82.5266291454788
0;0;1;166.28;-224;51;62.2195612996961
0;1;3;165.65;560;68;65.1435698979689
0;0;2;153.84;1246;37;57.7144669426064
0;0;3;163.99;-315;43;58.998500995841
0;0;4;166.14;672;48;74.268103258511
1;1;3;177.97;-63;82;76.5119423067532
0;0;2;155.81;819;37;62.2189119150185
1;0;1;177.75;182;60;84.2338612656965
1;0;1;173.83;644;40;76.3641618131716
1;0;4;174.25;147;55;74.4753125188694
0;0;4;177.24;-133;47;78.345241316092
1;0;5;172.3;357;63;71.1958301555872
0;0;0;161.37;637;0;68.3222422781879
1;1;3;168.81;-1120;90;64.4663041486744
0;0;3;155.84;882;42;64.0206743986159
0;1;1;147.56;-651;51;58.5241514259809
0;1;3;159.73;-525;60;61.8154158396705
0;1;3;166.8;-1617;59;56.1989799711928
0;0;2;169.78;1036;41;74.8477590504958
0;0;0;156.67;616;0;69.5886821753409
1;0;2;178.91;252;52;83.1330667890112
0;0;0;161.47;287;0;74.7109962170765
1;0;2;178.45;126;56;79.2859845669502
0;0;2;157.09;553;56;64.6064427053198
0;1;4;168.83;-1666;51;67.640079612642
0;0;0;159.39;581;0;62.4038774489316
0;0;2;155.08;924;46;59.8832122394807
1;0;4;187.49;-546;74;88.3406563869464
1;0;0;165.84;273;0;72.2409059496795
0;0;3;164.08;-665;40;60.1691024734097
0;1;4;157.45;-903;64;50.7986371764785
0;1;0;160.12;-749;0;60.3456581128734
1;0;2;175.06;252;58;85.1354115500164
1;0;2;170.5;1120;53;79.7226337391641
1;0;3;168.39;2499;55;67.2172289053284
0;0;4;153.33;-343;52;51.9881365082727
1;1;2;181.19;-154;55;76.6228762989983
0;0;4;167.73;693;43;72.5759606514714
0;0;3;165.95;-56;48;68.5728949236917
0;0;0;166.46;1120;0;71.8940821284267
0;1;4;170.33;-1526;54;77.2873023816192
0;0;4;159.97;-504;44;73.7470320625613
1;0;0;162.08;588;0;62.3484923878546
1;0;0;183.95;-49;0;84.1316247602161
1;0;4;169.33;70;55;77.5454424697102
0;1;4;168.78;-2282;49;59.7568113142013
0;0;1;165.73;98;57;66.4225500740426
1;0;4;180.96;420;54;88.4601692705909
1;0;3;178.63;-154;54;72.6980734228724
0;0;0;163.87;609;0;62.5750826465335
1;0;1;180.33;693;59;79.2958652798555
0;0;2;164.2;315;48;69.075690076402
0;0;0;170.13;-7;0;77.0678490740839
1;0;1;168.48;21;63;78.0090593779412
0;0;0;152.11;952;0;52.9239630807776
0;1;3;167.83;-987;56;66.7694296184384
0;1;1;165.45;-252;48;69.1417798542713
1;0;1;178.95;896;57;89.2079021565463
0;0;0;151.71;-49;0;55.4517819833208
1;0;6;168.95;371;64;71.7701579801682
0;0;2;155.88;700;47;52.5899865771421
1;0;0;181.97;-203;0;82.4462387490701
1;0;6;175.48;476;52;74.3527540031929
1;0;2;176.13;287;54;79.5383952202868
1;0;3;166.76;217;59;81.8911360475477
0;1;4;159.15;-1260;66;56.9838370926846
0;1;4;163.1;-1232;59;66.8356061925555
0;1;1;156.61;-959;54;55.2050902697655
1;1;2;177.21;56;69;78.3659300383386
0;1;1;150.29;224;59;60.1878528938106
0;1;3;162.59;-35;56;67.3397179953574
1;0;5;186.07;518;60;90.668050414416
0;1;2;156.97;140;53;62.1964093812546
0;1;0;165.02;-1624;0;59.1164172683158
1;0;3;177.45;-322;44;89.3643028432797
0;0;1;162.55;560;40;75.2560515250465
1;0;2;164.86;-462;59;71.6936732003916
1;0;0;178.07;42;0;86.5804725181407
1;0;0;171.04;966;0;70.7734694117121
0;0;2;161.91;35;37;58.7927946251829
0;0;1;151.54;476;50;60.4165638704556
0;0;1;152.92;1344;51;60.0102457665676
0;1;4;161.21;-546;57;61.7950289259348
1;0;6;175.8;315;59;70.604986100207
0;1;3;170.88;-1435;47;68.0054539278811
0;1;1;166.64;-1414;56;65.6379008288901
0;1;4;157.76;609;59;66.2805964667634
0;0;4;149.45;1022;41;59.1131675433029
1;0;2;179.23;329;57;87.0447849408683
1;0;5;171.63;595;40;70.1287029546024
0;0;3;163.37;91;48;71.2122650449217
1;0;2;188.69;791;47;92.737429436386
0;1;0;152.26;-1148;0;48.3730528477935
0;0;1;144.44;434;44;63.1343042553221
0;1;1;163.83;-1526;61;57.0159982281503
1;0;0;183.8;-798;0;79.0993548966953
0;0;2;165.64;595;54;64.8482420321889
0;1;3;162.51;-987;69;59.2357359152423
0;0;4;161.72;889;41;65.1143710167739
1;0;5;174.87;238;51;73.1996050981946
0;0;1;168.4;805;43;89.8820449493643
0;1;1;152.92;98;58;45.6767069413194
1;0;0;182.36;-385;0;73.4192657458433
0;0;4;147.32;-434;39;47.4238171997614
0;0;4;168.51;840;52;70.1026111627852
0;0;1;170.98;574;44;76.2772480413037
1;0;3;170.87;707;62;77.2038996031811
1;0;0;173.51;1190;0;82.2197020610696
0;0;2;151.69;56;44;48.6369272218367
0;0;3;161.73;1309;41;61.0712985545081
0;0;1;161.51;7;55;61.5359161088339
1;0;3;169.95;798;52;78.121432262184
0;0;4;158.89;168;52;73.1724937716883
1;0;4;170.69;182;56;76.9801867956368
0;0;3;171.16;322;45;69.5186037696446
1;0;4;169.04;672;69;62.8037652201672
0;0;2;158.76;-322;52;59.0218882758509
0;0;2;160.73;-98;42;72.4643742939843
0;0;1;157.72;581;36;63.4267511090935
1;0;4;192.36;1323;48;96.8462556123442
1;0;2;177.12;714;43;81.5166278859728
0;1;1;160.95;133;67;60.2925623076257
0;1;1;170.86;-833;68;63.6212515812376
1;0;3;184.78;1169;42;89.8944360364601
0;0;0;168.47;21;0;70.2547946691787
0;1;2;154.06;-1351;62;53.6240661714865
1;0;1;161.04;630;51;65.7525997888052
0;1;1;162.85;-1498;59;63.7643819378682
1;0;6;184.51;1071;54;89.3838783402731
1;0;1;170.97;1015;52;73.0614972400198
1;0;4;174.41;-413;61;73.9555094249179
1;0;5;182.45;476;58;81.6319576004632
1;0;6;167.46;917;61;67.8117620646126
1;0;6;170.61;420;62;73.3358636011895
1;0;2;165.76;805;59;68.9821409070151
1;0;0;175.99;854;0;84.0599583907414
0;0;0;167.19;-28;0;66.239591027096
1;0;0;173.9;252;0;76.1815892846536
0;0;2;167.92;378;57;76.959945190135
0;0;0;169.36;175;0;74.0622155278289
0;0;0;164.58;1239;0;72.8174718383353
0;0;1;162.94;861;41;73.4378401551472
0;1;4;159.76;-322;61;57.3928770437637
0;1;2;158.88;-504;58;53.1667554585315
0;0;3;154.2;826;41;72.8977291774958
1;0;5;176.91;707;47;75.8321315563416
1;0;0;177.59;-245;0;82.6507264223992
0;1;1;156.68;-2149;57;57.764079707744
0;0;0;156.18;322;0;59.3207977000889
0;0;4;165.56;-231;42;67.8800022806549
0;1;0;167.78;-35;0;74.6402500950634
0;0;2;166.42;-301;53;78.4354339748646
0;0;3;150.73;266;45;51.6547228174376
1;0;0;166.44;497;0;65.7068872798206
0;0;4;164.35;819;40;71.8200080197869
1;0;2;174.19;-875;42;86.0859279820525
0;0;0;164.2;840;0;75.7581633350061
1;0;0;176.9;21;0;80.3796022617187
1;0;3;171.9;455;68;77.3089364154456
1;0;6;165.93;98;47;72.4901288683516
1;0;5;186.33;938;49;89.8433170633204
1;0;5;169.7;784;47;72.5426830594885
0;0;4;156.35;1162;50;60.9400753806665
1;0;5;152.01;686;44;62.5636127415279
0;0;4;147.68;392;45;67.8765211177707
0;1;1;158.49;-2030;69;57.1363948812983
0;0;1;152.86;-343;55;55.3311856055471
0;0;0;152.87;658;0;52.8808995484236
0;1;0;150.86;-42;0;52.9997220640162
0;0;3;161.85;413;46;68.3914364716215
0;1;3;166.93;-504;60;75.1475258035506
0;0;4;167.2;-392;50;68.561026664352
0;0;0;156.47;-658;0;58.3688832433645
1;0;4;171.1;448;57;68.12364512613
1;0;0;188.47;602;0;93.7360380163377
0;1;1;164.88;-497;71;67.6549290586348
0;1;1;173.58;756;74;83.3561263755335
0;0;1;148.06;-651;39;50.2217067562764
1;1;3;177.81;231;83;75.0770747924429
1;0;2;178.64;189;64;77.0703476126638
0;0;1;157.3;63;38;64.0145210530245
1;0;4;177.52;497;61;82.2700898116363
0;1;2;165.98;-665;54;71.4395323268961
1;0;0;173.18;-203;0;73.7263177613584
0;1;3;176.94;-1771;56;66.1207822048335
1;0;4;184.5;665;58;84.7649245516962
0;0;3;162.41;756;42;59.2481102668003
0;0;0;147.08;749;0;60.0556471525661
0;0;1;171.29;476;42;73.2685523641315
1;0;1;168.58;-385;67;71.4745056260171
1;0;4;180.49;588;48;79.6415718335343
0;0;1;152.88;630;45;56.1997117902941
1;0;5;171.09;700;50;84.9845806721104
1;0;3;187.59;658;57;87.9595696286179
1;0;1;194.27;-532;48;95.0569802293531
1;0;5;175.82;938;63;79.3519395432798
1;0;1;186.59;-224;51;85.9884803600628
1;0;3;176.6;854;54;78.2250911052407
0;1;1;158.85;-679;54;71.1944629387727
1;0;2;187.26;308;66;84.9070820992088
1;0;6;175.17;819;50;64.3630506951862
1;0;3;194.41;469;58;93.3801089880049
0;0;3;175.42;371;44;76.4528586686262
1;1;4;185.77;-1029;71;78.515980313915
1;0;3;165.42;-203;54;69.2320914834326
0;0;3;145.96;-770;37;50.7556155889295
1;0;2;170.09;700;52;80.4819307048293
1;0;4;172.13;1267;46;81.5247330054146
0;1;1;162.28;-1603;57;68.3057047738496
1;0;5;178.6;777;46;77.1061477416917
0;1;2;166.47;-315;51;65.3222184196694
0;0;2;148.38;385;42;63.1589628200872
1;0;3;185.9;546;60;94.2366244532618
1;0;1;191.61;441;61;88.884747431479
0;1;3;167.28;-623;58;70.5543266024628
1;0;2;173.97;-784;60;76.9169846411774
0;1;0;161.88;-1589;0;56.1567003221285
0;0;1;164.8;357;42;66.2505875066646
0;1;1;163.81;-1344;42;65.0313649453158
1;0;1;181.48;-35;55;82.0835623034758
1;0;2;162.14;322;53;71.4614818157264
0;0;4;152.48;910;44;69.8636076175589
0;1;3;164.69;-1085;60;67.208789276493
0;0;0;172.2;-35;0;67.1178252354182
0;0;1;165.87;532;40;71.7585517883813
1;0;6;177.72;-322;57;80.4292803130144
0;1;1;165.8;-413;56;56.8550803697768
1;0;6;183.12;805;55;95.3398082017153
1;0;2;161.89;1029;54;69.6015767283283
1;0;0;175.65;301;0;82.0883282252781
1;0;1;178.24;7;54;90.3371468913141
0;0;3;157.06;154;44;63.6627032361999
1;0;5;169.51;-21;51;75.0167363196027
1;0;1;169.89;-567;56;73.7407280881736
0;1;3;160.56;-651;47;58.3645664891647
1;0;6;173.87;770;51;79.1900277809397
1;0;2;178.73;224;50;73.2521432990804
0;1;1;160.41;777;69;71.7412815903756
1;1;5;167.81;-399;67;78.6971929590111
0;0;3;162.85;287;45;72.1812782097769
1;1;2;170.09;-777;76;74.7804471923381
1;0;6;171.48;707;60;77.4109327912066
1;0;2;180.4;126;58;77.4045063854349
1;0;1;162.19;1190;47;68.1444963085728
0;0;1;165.38;-28;46;64.5139522729611
0;1;2;155.16;-1939;61;54.4773507308772
0;1;0;162.44;-791;0;62.9709297202409
1;0;3;169.05;70;58;78.5434298660776
1;0;5;179.35;567;63;78.5644234700149
1;0;3;173.59;-49;52;78.3728377267581
1;0;1;163.15;595;52;64.4892855538596
0;1;1;166.73;-168;58;67.297953410146
0;0;2;163.4;-182;44;63.8641679159113
0;1;4;159.97;-707;60;52.4976690642243
0;0;2;167.03;-21;48;71.3408418643948
1;0;3;183.01;602;55;93.3655211199789
0;0;3;153.37;-343;46;56.9962321223654
1;0;6;174.96;-245;48;86.607440928304
0;0;0;166.82;245;0;58.8181296115803
1;0;4;187.7;931;47;90.1354565405194
0;1;1;173.84;-357;61;63.4200395609466
1;0;0;177.41;266;0;91.1040643122614
1;0;2;179.18;847;61;84.4503829045888
1;1;0;167.83;140;0;70.3402671480259
0;0;0;164.23;602;0;77.0493030901687
1;0;6;163.77;476;64;71.3108714379926
1;1;1;183.39;0;67;76.6114666614139
1;0;0;187.45;-231;0;94.063922315602
1;0;6;160.31;105;57;72.6793672648931
0;0;1;167.59;567;39;67.1285514810755
1;0;4;180.27;1008;56;78.3876321125392
0;0;0;161.82;196;0;69.6886198599141
1;0;0;178.97;224;0;78.4708236394335
0;0;4;161.36;322;44;55.1088653547071
0;0;3;158.88;1358;42;65.9180895842549
0;1;0;159.05;-861;0;55.6725655911865
0;1;1;167.29;-1267;63;63.7334507221922
1;0;6;173.05;847;68;74.6897939633428
1;0;0;176.25;70;0;80.1750385067976
1;0;6;170.77;-308;65;71.7562843181629
0;0;2;156.05;749;45;59.7810624809798
0;1;0;161.03;-1190;0;63.8592741407303
1;0;6;159.29;511;63;66.5860336701125
1;0;1;187.02;-182;47;91.9621988654985
1;0;3;178.93;-553;57;69.8578873227831
1;0;3;177.23;476;57;89.0656078652738
0;1;0;160.99;189;0;71.4629990765817
0;1;2;160.12;469;60;55.6711528870568
0;0;1;165.09;504;48;70.917619501798
1;1;2;183.05;-728;66;83.6651416520928
1;0;2;174.77;1358;59;80.6635013654596
1;0;3;163.12;231;50;66.1415033986665
0;1;0;173.47;-910;0;72.650756945635
0;1;3;173.96;-175;64;79.69134675044
1;0;5;180.19;574;69;72.7357957601725
1;0;2;182.62;-952;52;83.7964070919961
0;1;3;169.78;-462;53;64.5324169159112
1;0;5;170.72;42;52;73.5324470780261
0;0;1;161.52;1197;39;69.4571078856221
1;0;2;174.98;-84;42;74.7737524540003
1;0;2;175.73;-182;59;72.185687740526
1;0;6;174.12;189;51;80.5920190508806
0;0;2;164.02;28;46;69.6800360920316
1;0;6;184.44;259;63;83.3494764367082
1;0;1;176.57;-28;44;85.7634240121562
1;0;5;174.02;-84;51;80.7612931924024
1;0;4;172.16;1344;61;77.360886933549
0;0;1;159.12;266;43;65.1180973345107
1;0;5;177.3;-322;54;77.9393108966603
1;0;2;178.34;658;49;80.567317130328
0;1;4;164.03;-1071;64;60.9794148625577
1;0;1;179.88;-56;50;85.6136751721133
1;0;0;167.94;280;0;77.1261083710522
1;0;5;171.96;266;45;67.8166939148213
1;0;4;172.59;420;75;74.8704860774101
1;0;3;167.26;469;41;75.8620934652364
0;0;2;164.66;588;39;59.3915284088196
1;1;6;170.03;399;73;79.6016527796119
0;0;4;151.64;105;37;54.4783776606978
1;0;1;165.27;-238;52;66.8245182567435
0;0;1;156.14;1463;52;62.637785079174
0;0;3;152.45;-434;47;56.9216534966877
1;0;1;168.17;-588;56;69.8991164214491
0;1;4;152.53;-1239;54;54.5999842395649
1;0;2;163.7;343;50;73.22273084865
1;0;1;176.13;-140;51;80.6676544911591
0;0;3;158.79;560;48;67.6440131097487
0;1;1;169.36;-525;64;63.8306836968332
1;0;0;177.36;-175;0;84.6759580053393
0;0;3;159.09;784;45;63.5149395039789
0;0;2;175.4;511;49;75.7950377698205
1;0;0;178.16;518;0;74.6173992763045
0;0;1;172.38;833;56;71.8186328782745
0;1;3;160.31;175;41;70.3319177991877
1;0;3;165.44;567;44;62.9846849874472
1;0;0;178.47;322;0;85.3738587722153
0;0;4;166.28;1414;44;69.6854917948743
0;1;3;151.7;-2310;50;49.8496840879182
1;0;5;176.79;168;43;81.8136119126407
0;0;1;172.74;546;46;74.4666777967598
1;0;5;180.8;14;55;80.5114610748599
0;0;4;154.82;-231;48;53.3130731916413
1;0;0;177.33;980;0;75.8088614953968
0;0;2;155.62;931;44;70.5447801469615
0;0;4;155.52;-714;46;59.693280389344
1;0;2;176.05;812;48;80.8690716473564
1;0;0;172.57;343;0;75.4497672386602
1;0;5;180.36;1071;54;89.7053474576871
1;0;4;179.84;77;50;82.3737216896697
1;0;3;176.48;280;55;77.6972359053337
0;1;2;155.33;-294;51;61.6331317867699
0;0;0;166.86;959;0;71.2838575552884
0;0;0;157.9;-252;0;72.7506969517013
0;0;2;169.73;679;50;69.5370764826347
1;0;5;173.94;343;45;72.0198155995877
0;0;1;162.11;-266;39;61.8232911719061
1;1;3;173.22;-1827;61;76.6326145777409
0;1;2;160.87;-959;42;64.9612385459245
0;0;2;160.18;0;42;60.6920363547117
1;0;2;176.29;812;55;76.0260534350552
0;1;0;170.29;-1820;0;63.4146077585096
1;0;5;180.52;364;52;77.5291139810425
1;0;2;163.83;-98;46;71.3908624561884
1;0;3;165.32;518;56;79.1565779369687
0;0;2;183.71;-77;49;79.2634717546719
1;0;0;171.25;371;0;75.8035509895627
